9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Mestrado,20h,1,,Graduação,40h,4,,Graduação,40h,2,,Graduação,40h,1,Campus Januária,Doutorado,20h,(Em branco)
,Doutorado,40h,2,,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,1,,Especialização,20h,(Em branco)
,Especialização,40h,2,,Doutorado,DE,11,,Doutorado,DE,11,,Doutorado,DE,13,,Graduação,20h,(Em branco)
,Graduação,40h,9,,Especialização,DE,2,,Especialização,DE,1,,Especialização,DE,1,,Mestrado,20h,1
,Mestrado,40h,3,,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Doutorado,40h,3
,Doutorado,DE,36,,Mestrado,DE,16,,Mestrado,DE,17,,Mestrado,DE,15,,Especialização,40h,5
,Especialização,DE,41,Campus Januária,Doutorado,20h,(Em branco),Campus Januária,Doutorado,20h,(Em branco),Campus Januária,Doutorado,20h,(Em branco),,Graduação,40h,5
,Graduação,DE,3,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Mestrado,40h,5
,Mestrado,DE,65,,Graduação,20h,4,,Graduação,20h,1,,Graduação,20h,3,,Doutorado,DE,38
Campus Montes Claros,Doutorado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Especialização,DE,10
,Especialização,20h,1,,Doutorado,40h,1,,Doutorado,40h,1,,Doutorado,40h,1,,Graduação,DE,(Em branco)
,Graduação,20h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Mestrado,DE,89
,Mestrado,20h,1,,Graduação,40h,15,,Graduação,40h,17,,Graduação,40h,16,Campus Montes Claros,Doutorado,20h,(Em branco)
