9.1.4 EFICIÊNCIA ACADÊMICA POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,,2020,,,,,,2021,,,,,,2022,,,,,
Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %
Campus Salinas,Bacharelado,"71,20%","51,85%","20,99%",,Técnico,"49,50%","46,91%","47,88%","5,21%",,Tecnologia,"100,00%","100,00%",(Em branco),(Em branco),,Qualificação Profissional (FIC),"60,40%","60,44%","39,56%",(Em branco),,Qualificação Profissional (FIC),"45,30%","45,28%","54,72%",(Em branco)
,Licenciatura,"14,90%","10,07%","57,72%",Campus Salinas,Bacharelado,"39,60%","24,42%","37,21%","38,37%",Campus Pirapora,Bacharelado,"32,60%","17,28%","35,80%","46,91%",,Técnico,"30,70%","29,19%","66,00%","4,81%",,Técnico,"50,40%","44,59%","43,95%","11,46%"
,Técnico,"55,30%","54,70%","44,22%",,Licenciatura,"10,30%","6,92%","60,38%","32,70%",,Qualificação Profissional (FIC),"32,50%","32,50%","67,50%",(Em branco),Campus Pirapora,Bacharelado,"30,40%","17,28%","39,51%","43,21%",Campus Pirapora,Bacharelado,"28,10%","18,80%","48,12%","33,08%"
,Tecnologia,(Em branco),(Em branco),"50,00%",,Técnico,"79,20%","67,13%","17,59%","15,28%",,Técnico,"58,60%","51,83%","36,54%","11,63%",,Qualificação Profissional (FIC),"38,50%","38,52%","61,48%",(Em branco),,Técnico,"40,90%","39,07%","56,49%","4,44%"
Campus Teófilo Otoni,Qualificação Profissional (FIC),"100,00%","100,00%",(Em branco),,Tecnologia,(Em branco),(Em branco),"61,54%","38,46%",Campus Salinas,Bacharelado,"38,20%","24,14%","39,08%","36,78%",,Técnico,"65,40%","47,85%","25,27%","26,88%",Campus Salinas,Bacharelado,"32,90%","19,67%","40,16%","40,16%"
,Técnico,"32,90%","32,88%","66,94%",Campus Teófilo Otoni,Qualificação Profissional (FIC),"45,20%","45,16%","54,84%",(Em branco),,Licenciatura,"9,20%","6,58%","65,13%","28,29%",Campus Salinas,Bacharelado,"24,50%","17,16%","52,99%","29,85%",,Mestrado Profissional,"61,10%","55,00%","35,00%","10,00%"
Centro de Referência Corinto,Técnico,"39,40%","39,44%","60,56%",,Técnico,"49,00%","47,65%","49,66%","2,68%",,Mestrado Profissional,"91,70%","91,67%","8,33%",(Em branco),,Licenciatura,"13,90%","9,55%","59,24%","31,21%",,Qualificação Profissional (FIC),"61,50%","61,54%","38,46%",(Em branco)
Centro de Referência em Educação a Distância,Especialização (Lato Sensu),"75,70%","75,71%","24,29%",Centro de Referência em Educação a Distância,Especialização (Lato Sensu),"48,00%","47,97%","52,03%",(Em branco),,Qualificação Profissional (FIC),"36,70%","36,67%","63,33%",(Em branco),,Mestrado Profissional,"54,50%","40,00%","33,33%","26,67%",,Técnico,"76,40%","75,34%","23,29%","1,37%"
,Técnico,"20,10%","20,05%","79,95%",,Qualificação Profissional (FIC),"47,10%","47,06%","52,94%",(Em branco),,Técnico,"78,60%","72,26%","19,71%","8,03%",,Qualificação Profissional (FIC),"50,00%","50,00%","50,00%",(Em branco),,Tecnologia,(Em branco),(Em branco),"50,00%","50,00%"
TOTAL IFNMG,Eficiência Acadêmica,"50,00%",,,TOTAL IFNMG,Eficiência Acadêmica,"45,30%",,,,,Tecnologia,"4,50%","3,57%","75,00%","21,43%",,Técnico,"69,70%","69,10%","30,06%","0,84%",Campus Teófilo Otoni,Qualificação Profissional (FIC),"55,70%","50,00%","39,81%","10,19%"
,Conclusão Ciclo %,"46,22%",,,,Conclusão Ciclo %,"43,68%",,,,Campus Teófilo Otoni,Qualificação Profissional (FIC),"79,60%","79,59%","20,41%",(Em branco),Campus Teófilo Otoni,Qualificação Profissional (FIC),"39,60%","39,58%","60,42%",(Em branco),,Técnico,"44,40%","44,03%","55,16%","0,81%"
,Evasão Ciclo %,"46,22%",,,,Evasão Ciclo %,"52,84%",,,,,Técnico,"53,50%","52,05%","45,21%","2,74%",,Técnico,"56,30%","46,96%","36,44%","16,60%",,Tecnologia,(Em branco),(Em branco),"61,18%","38,82%"
,Retenção Ciclo %,"7,57%",,,,Retenção Ciclo %,"3,48%",,,,Centro de Referência em Educação a Distância,Especialização (Lato Sensu),"50,80%","50,83%","49,17%",(Em branco),,Tecnologia,(Em branco),(Em branco),"72,50%","27,50%",Centro de Referência Corinto,Técnico,"23,80%","23,84%","76,16%",(Em branco)
,,,,,,,,,,,,Qualificação Profissional (FIC),"39,70%","39,68%","60,32%",(Em branco),Centro de Referência Corinto,Qualificação Profissional (FIC),"25,80%","25,82%","74,18%",(Em branco),Centro de Referência em Educação a Distância,Bacharelado,"52,20%","51,29%","46,98%","1,72%"
,,,,,,,,,,,,Técnico,"50,80%","48,49%","47,05%","4,46%",,Técnico,"28,80%","25,64%","63,37%","10,99%",,Especialização (Lato Sensu),"59,20%","58,59%","40,40%","1,01%"
,,,,,,,,,,,TOTAL IFNMG,Eficiência Acadêmica,"53,70%",,,,Centro de Referência em Educação a Distância,Especialização (Lato Sensu),"64,80%","64,76%","35,24%",(Em branco),,Licenciatura,"50,90%","45,41%","43,83%","10,76%"
,,,,,,,,,,,,Conclusão Ciclo %,"50,13%",,,,,Licenciatura,"59,50%","59,52%","40,48%",(Em branco),,Qualificação Profissional (FIC),"6,10%","6,09%","93,91%",(Em branco)
,,,,,,,,,,,,Evasão Ciclo %,"43,20%",,,,,Qualificação Profissional (FIC),"30,30%","30,35%","69,65%",(Em branco),,Técnico,"27,80%","17,86%","46,43%","35,71%"
,,,,,,,,,,,,Retenção Ciclo %,"6,67%",,,,TOTAL IFNMG,Eficiência Acadêmica,"45,30%",,,,TOTAL IFNMG,Eficiência Acadêmica,"50,00%",,,
,,,,,,,,,,,,,,,,,,Conclusão Ciclo %,"43,68%",,,,,Conclusão Ciclo %,"46,22%",,,
,,,,,,,,,,,,,,,,,,Evasão Ciclo %,"52,84%",,,,,Evasão Ciclo %,"46,22%",,,
,,,,,,,,,,,,,,,,,,Retenção Ciclo %,"3,48%",,,,,Retenção Ciclo %,"7,57%",,,
