9.1.5 RETENÇÃO POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,
Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas
,Evadidos,Reprovado,Em fluxo,(Em branco),,Em curso,Em curso,Retido,101,,Evadidos,Reprovado,Em fluxo,15,,Em curso,Em curso,Retido,264,,Evadidos,Transf. externa,Em fluxo,1
,Evadidos,Transf. externa,Em fluxo,1,,Evadidos,Abandono,Em fluxo,144,,Evadidos,Transf. externa,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,454,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Diamantina,Concluintes,Concluída,Em fluxo,71,,Evadidos,Cancelada,Em fluxo,(Em branco),Campus Diamantina,Concluintes,Concluída,Em fluxo,1.533,,Evadidos,Cancelada,Em fluxo,2,Campus Diamantina,Concluintes,Concluída,Em fluxo,340
,Concluintes,Integralizada,Em fluxo,32,,Evadidos,Desligada,Em fluxo,3,,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,4,,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,117,,Evadidos,Reprovado,Em fluxo,15,,Em curso,Em curso,Em fluxo,368,,Evadidos,Reprovado,Em fluxo,126,,Em curso,Em curso,Em fluxo,528
,Em curso,Em curso,Retido,18,,Evadidos,Transf. externa,Em fluxo,1,,Em curso,Em curso,Retido,172,,Evadidos,Transf. externa,Em fluxo,(Em branco),,Em curso,Em curso,Retido,29
,Evadidos,Abandono,Em fluxo,17,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,585,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,175
,Evadidos,Cancelada,Em fluxo,(Em branco),Campus Diamantina,Concluintes,Concluída,Em fluxo,83,,Evadidos,Cancelada,Em fluxo,(Em branco),Campus Diamantina,Concluintes,Concluída,Em fluxo,1.390,,Evadidos,Desligada,Em fluxo,34
,Evadidos,Desligada,Em fluxo,51,,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,128,,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,84
,Evadidos,Reprovado,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,967,,Evadidos,Reprovado,Em fluxo,342,,Em curso,Em curso,Em fluxo,799,,Evadidos,Transf. externa,Em fluxo,20
,Evadidos,Transf. externa,Em fluxo,(Em branco),,Em curso,Em curso,Retido,13,,Evadidos,Transf. externa,Em fluxo,6,,Em curso,Em curso,Retido,154,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Januária,Concluintes,Concluída,Em fluxo,551,,Evadidos,Abandono,Em fluxo,184,Campus Januária,Concluintes,Concluída,Em fluxo,414,,Evadidos,Abandono,Em fluxo,212,Campus Januária,Concluintes,Concluída,Em fluxo,530
,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,3,,Evadidos,Cancelada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,15
,Em curso,Em curso,Em fluxo,1.799,,Evadidos,Desligada,Em fluxo,46,,Em curso,Em curso,Em fluxo,1.472,,Evadidos,Desligada,Em fluxo,186,,Em curso,Em curso,Em fluxo,1.388
,Em curso,Em curso,Retido,547,,Evadidos,Reprovado,Em fluxo,34,,Em curso,Em curso,Retido,802,,Evadidos,Reprovado,Em fluxo,137,,Em curso,Em curso,Retido,850
,Evadidos,Abandono,Em fluxo,1.774,,Evadidos,Transf. externa,Em fluxo,10,,Evadidos,Abandono,Em fluxo,470,,Evadidos,Transf. externa,Em fluxo,7,,Evadidos,Abandono,Em fluxo,480
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,2
,Evadidos,Desligada,Em fluxo,8,Campus Januária,Concluintes,Concluída,Em fluxo,332,,Evadidos,Desligada,Em fluxo,8,Campus Januária,Concluintes,Concluída,Em fluxo,535,,Evadidos,Reprovado,Em fluxo,195
,Evadidos,Reprovado,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,6,,Evadidos,Reprovado,Em fluxo,172,,Concluintes,Integralizada,Em fluxo,6,,Evadidos,Transf. externa,Em fluxo,41
,Evadidos,Transf. externa,Em fluxo,49,,Em curso,Em curso,Em fluxo,1.755,,Evadidos,Transf. externa,Em fluxo,21,,Em curso,Em curso,Em fluxo,1.632,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Montes Claros,Concluintes,Concluída,Em fluxo,569,,Em curso,Em curso,Retido,557,Campus Montes Claros,Concluintes,Concluída,Em fluxo,999,,Em curso,Em curso,Retido,786,Campus Montes Claros,Concluintes,Concluída,Em fluxo,222
,Concluintes,Integralizada,Em fluxo,54,,Evadidos,Abandono,Em fluxo,376,,Concluintes,Integralizada,Em fluxo,2,,Evadidos,Abandono,Em fluxo,540,,Concluintes,Integralizada,Em fluxo,21
,Em curso,Em curso,Em fluxo,988,,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,829,,Evadidos,Cancelada,Em fluxo,1,,Em curso,Em curso,Em fluxo,1.031
,Em curso,Em curso,Retido,197,,Evadidos,Desligada,Em fluxo,1,,Em curso,Em curso,Retido,248,,Evadidos,Desligada,Em fluxo,3,,Em curso,Em curso,Retido,301
,Evadidos,Abandono,Em fluxo,117,,Evadidos,Reprovado,Em fluxo,49,,Evadidos,Abandono,Em fluxo,261,,Evadidos,Reprovado,Em fluxo,124,,Evadidos,Abandono,Em fluxo,119
,Evadidos,Cancelada,Em fluxo,2,,Evadidos,Transf. externa,Em fluxo,59,,Evadidos,Cancelada,Em fluxo,3,,Evadidos,Transf. externa,Em fluxo,11,,Evadidos,Desligada,Em fluxo,33
,Evadidos,Desligada,Em fluxo,11,,Evadidos,Transf. interna,Em fluxo,4,,Evadidos,Desligada,Em fluxo,6,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,100
,Evadidos,Reprovado,Em fluxo,2,Campus Montes Claros,Concluintes,Concluída,Em fluxo,246,,Evadidos,Reprovado,Em fluxo,392,Campus Montes Claros,Concluintes,Concluída,Em fluxo,155,,Evadidos,Transf. externa,Em fluxo,1
,Evadidos,Transf. externa,Em fluxo,1,,Concluintes,Integralizada,Em fluxo,89,,Evadidos,Transf. externa,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,51,,Evadidos,Transf. interna,Em fluxo,1
Campus Pirapora,Concluintes,Concluída,Em fluxo,181,,Em curso,Em curso,Em fluxo,919,Campus Pirapora,Concluintes,Concluída,Em fluxo,201,,Em curso,Em curso,Em fluxo,954,Campus Pirapora,Concluintes,Concluída,Em fluxo,445
,Concluintes,Integralizada,Em fluxo,69,,Em curso,Em curso,Retido,211,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,333,,Concluintes,Integralizada,Em fluxo,102
,Em curso,Em curso,Em fluxo,980,,Evadidos,Abandono,Em fluxo,173,,Em curso,Em curso,Em fluxo,1.199,,Evadidos,Abandono,Em fluxo,107,,Em curso,Em curso,Em fluxo,1.323
,Em curso,Em curso,Retido,218,,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,488,,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,406
,Evadidos,Abandono,Em fluxo,113,,Evadidos,Desligada,Em fluxo,38,,Evadidos,Abandono,Em fluxo,398,,Evadidos,Desligada,Em fluxo,25,,Evadidos,Abandono,Em fluxo,470
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,17,,Evadidos,Desligada,Em fluxo,55
,Evadidos,Desligada,Em fluxo,26,,Evadidos,Transf. externa,Em fluxo,1,,Evadidos,Desligada,Em fluxo,47,,Evadidos,Transf. externa,Em fluxo,6,,Evadidos,Reprovado,Em fluxo,94
,Evadidos,Reprovado,Em fluxo,25,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,218,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,17
,Evadidos,Transf. externa,Em fluxo,6,Campus Pirapora,Concluintes,Concluída,Em fluxo,128,,Evadidos,Transf. externa,Em fluxo,4,Campus Pirapora,Concluintes,Concluída,Em fluxo,143,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Salinas,Concluintes,Concluída,Em fluxo,157,,Concluintes,Integralizada,Em fluxo,190,Campus Salinas,Concluintes,Concluída,Em fluxo,331,,Concluintes,Integralizada,Em fluxo,160,Campus Salinas,Concluintes,Concluída,Em fluxo,346
,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,1.527,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,942,,Concluintes,Integralizada,Em fluxo,3
,Em curso,Em curso,Em fluxo,1.377,,Em curso,Em curso,Retido,177,,Em curso,Em curso,Em fluxo,1.197,,Em curso,Em curso,Retido,783,,Em curso,Em curso,Em fluxo,1.151
,Em curso,Em curso,Retido,397,,Evadidos,Abandono,Em fluxo,203,,Em curso,Em curso,Retido,510,,Evadidos,Abandono,Em fluxo,83,,Em curso,Em curso,Retido,519
,Evadidos,Abandono,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,46,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,29
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,36,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,29,,Evadidos,Desligada,Em fluxo,344
,Evadidos,Desligada,Em fluxo,583,,Evadidos,Reprovado,Em fluxo,18,,Evadidos,Desligada,Em fluxo,279,,Evadidos,Reprovado,Em fluxo,4,,Evadidos,Reprovado,Em fluxo,114
,Evadidos,Reprovado,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,19,,Evadidos,Reprovado,Em fluxo,165,,Evadidos,Transf. externa,Em fluxo,9,,Evadidos,Transf. externa,Em fluxo,31
,Evadidos,Transf. externa,Em fluxo,47,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,22,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Teófilo Otoni,Concluintes,Concluída,Em fluxo,141,Campus Salinas,Concluintes,Concluída,Em fluxo,304,Campus Teófilo Otoni,Concluintes,Concluída,Em fluxo,55,Campus Salinas,Concluintes,Concluída,Em fluxo,294,Campus Teófilo Otoni,Concluintes,Concluída,Em fluxo,417
,Concluintes,Integralizada,Em fluxo,21,,Concluintes,Integralizada,Em fluxo,7,,Concluintes,Integralizada,Em fluxo,1,,Concluintes,Integralizada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,8
,Em curso,Em curso,Em fluxo,285,,Em curso,Em curso,Em fluxo,1.346,,Em curso,Em curso,Em fluxo,615,,Em curso,Em curso,Em fluxo,1.483,,Em curso,Em curso,Em fluxo,792
,Em curso,Em curso,Retido,16,,Em curso,Em curso,Retido,236,,Em curso,Em curso,Retido,191,,Em curso,Em curso,Retido,472,,Em curso,Em curso,Retido,188
,Evadidos,Abandono,Em fluxo,128,,Evadidos,Abandono,Em fluxo,18,,Evadidos,Abandono,Em fluxo,303,,Evadidos,Abandono,Em fluxo,111,,Evadidos,Abandono,Em fluxo,149
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,69
,Evadidos,Desligada,Em fluxo,24,,Evadidos,Desligada,Em fluxo,77,,Evadidos,Desligada,Em fluxo,1,,Evadidos,Desligada,Em fluxo,30,,Evadidos,Reprovado,Em fluxo,104
,Evadidos,Reprovado,Em fluxo,17,,Evadidos,Reprovado,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,11,,Evadidos,Reprovado,Em fluxo,39,,Evadidos,Transf. externa,Em fluxo,16
,Evadidos,Transf. externa,Em fluxo,9,,Evadidos,Transf. externa,Em fluxo,36,,Evadidos,Transf. externa,Em fluxo,10,,Evadidos,Transf. externa,Em fluxo,15,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Centro de Referência Corinto,Concluintes,Concluída,Em fluxo,1,,Evadidos,Transf. interna,Em fluxo,(Em branco),Centro de Referência Corinto,Concluintes,Concluída,Em fluxo,87,,Evadidos,Transf. interna,Em fluxo,(Em branco),Centro de Referência Corinto,Concluintes,Concluída,Em fluxo,97
,Concluintes,Integralizada,Em fluxo,(Em branco),Campus Teófilo Otoni,Concluintes,Concluída,Em fluxo,119,,Concluintes,Integralizada,Em fluxo,(Em branco),Campus Teófilo Otoni,Concluintes,Concluída,Em fluxo,223,,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,235,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,63,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,240
,Em curso,Em curso,Retido,(Em branco),,Em curso,Em curso,Em fluxo,829,,Em curso,Em curso,Retido,229,,Em curso,Em curso,Em fluxo,713,,Em curso,Em curso,Retido,(Em branco)
,Evadidos,Abandono,Em fluxo,(Em branco),,Em curso,Em curso,Retido,12,,Evadidos,Abandono,Em fluxo,73,,Em curso,Em curso,Retido,445,,Evadidos,Abandono,Em fluxo,63
,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,102,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,140,,Evadidos,Desligada,Em fluxo,(Em branco)
,Evadidos,Desligada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,1,,Evadidos,Desligada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,1
,Evadidos,Reprovado,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,19,,Evadidos,Reprovado,Em fluxo,249,,Evadidos,Desligada,Em fluxo,12,,Evadidos,Transf. externa,Em fluxo,(Em branco)
,Evadidos,Transf. externa,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,7,,Evadidos,Transf. externa,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,23,,Evadidos,Transf. interna,Em fluxo,(Em branco)
